ARK | Intel® Product Specification Comparison
01/14/2024 01:06:53 PM
 ,Intel® Xeon® D-1823NT Processor ,Intel® Xeon® D-1834 Processor ,Intel® Xeon® D-1846 Processor ,Intel® Xeon® D-1813NT Processor ,Intel® Xeon® D-1848TER Processor ,Intel® Xeon® D-1844NT Processor ,Intel® Xeon® D-2832NT Processor ,Intel® Xeon® D-2896NT Processor ,Intel® Xeon® D-2899NT Processor ,Intel® Xeon® D-2843NT Processor ,Intel® Xeon® D-2896TER Processor ,Intel® Xeon® D-2876NT Processor ,Intel® Core™ i9 processor 14900HX ,Intel® Core™ i7 processor 14650HX ,Intel® Core™ i7 processor 14700HX ,Intel® Core™ i5 processor 14450HX ,Intel® Core™ i5 processor 14500HX ,Intel® Xeon® E-2488 Processor ,Intel® Xeon® E-2478 Processor ,Intel® Xeon® E-2468 Processor ,Intel® Xeon® E-2486 Processor ,Intel® Xeon® E-2456 Processor ,Intel® Xeon® E-2436 Processor ,Intel® Xeon® E-2434 Processor ,Intel® Xeon® E-2414 Processor ,Intel® Xeon® Gold 6433N Processor ,Intel® Xeon® Gold 6433NE Processor ,Intel® Xeon® Gold 6423N Processor ,Intel® Xeon® Silver 4509Y Processor ,Intel® Xeon® Silver 4510 Processor ,Intel® Xeon® Silver 4510T Processor ,Intel® Xeon® Bronze 3508U Processor ,Intel® Core™ i9 processor 14900K ,Intel® Core™ i3 processor 14100 ,Intel® Core™ i3 processor 14100T ,Intel® Core™ 3 processor 100U ,Intel® Core™ i5 processor 14400F ,Intel® Core™ i5 processor 14600KF ,Intel® Core™ i5 processor 14500T ,Intel® Core™ i7 processor 14700 ,Intel® Core™ i5 processor 14600T ,Intel® Core™ i7 processor 14700K ,Intel® Core™ i5 processor 14500 ,Intel® Core™ i3 processor 14100F ,Intel® Core™ i9 processor 14900KF ,Intel® Core™ i5 processor 14400 ,Intel® Core™ i7 processor 14700KF ,Intel® Core™ i5 processor 14400T ,Intel® Core™ i9 processor 14900T ,Intel® Core™ i9 processor 14900 ,Intel® Core™ i7 processor 14700T ,Intel® Core™ 7 processor 150U ,Intel® Core™ 5 processor 120U ,Intel® Core™ i5 processor 14600K ,Intel® Core™ i5 processor 14600 ,Intel® Processor 300 ,Intel® Core™ Ultra 7 processor 155H ,Intel® Core™ Ultra 5 processor 125H ,Intel® Core™ Ultra 9 processor 185H ,Intel® Core™ Ultra 5 processor 135H ,Intel® Core™ Ultra 7 processor 165H ,Intel® Processor 300T ,Intel® Core™ i9 processor 14900F ,Intel® Core™ i7 processor 14700F ,Intel® Xeon® Platinum 8571N Processor ,Intel® Xeon® Platinum 8568Y+ Processor ,Intel® Xeon® Gold 6530 Processor ,Intel® Xeon® Platinum 8580 Processor ,Intel® Xeon® Platinum 8593Q Processor ,Intel® Xeon® Platinum 8558 Processor ,Intel® Xeon® Platinum 8558P Processor ,Intel® Xeon® Platinum 8592+ Processor ,Intel® Xeon® Gold 6554S Processor ,Intel® Xeon® Platinum 8570 Processor ,Intel® Xeon® Platinum 8558U Processor ,Intel® Xeon® Platinum 8581V Processor ,Intel® Core™ Ultra 7 processor 155U ,Intel® Core™ Ultra 5 processor 135U ,Intel® Core™ Ultra 7 processor 165U ,Intel® Core™ Ultra 5 processor 125U ,Intel® Core™ Ultra 5 processor 134U ,Intel® Core™ Ultra 7 processor 164U ,Intel® Xeon® Platinum 8592V Processor ,Intel® Xeon® Gold 6534 Processor ,Intel® Xeon® Silver 4516Y+ Processor ,Intel® Xeon® Silver 4514Y Processor ,Intel® Xeon® Platinum 8562Y+ Processor ,Intel® Xeon® Gold 6542Y Processor ,Intel® Xeon® Gold 6526Y Processor ,Intel® Xeon® Gold 5520+ Processor ,Intel® Xeon® Gold 5515+ Processor ,Intel® Xeon® Gold 6538Y+ Processor ,Intel® Xeon® Gold 6548Y+ Processor ,Intel® Xeon® Gold 5512U Processor ,Intel® Xeon® Gold 6558Q Processor ,Intel® Xeon® Gold 6548N Processor ,Intel® Xeon® Gold 6538N Processor ,Intel® Xeon® Gold 6544Y Processor ,Intel® Xeon® Gold 5403N Processor ,Intel® Core™ 3 processor 100U 
Max # of DMI Lanes,,,,,,,,,,,,,8,8,8,8,8,8,8,8,8,8,8,8,8,,,,,,,,8,8,8,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,,,8,8,8,,,,,,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCI Express Configurations ‡,,,,,,,,,,,,,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+1x4 |  2x8+1x4,Up to 1x16+1x4 |  2x8+1x4,Up to 1x16+1x4 |  2x8+1x4,Up to 1x16+1x4 |  2x8+1x4,Up to 1x16+1x4 |  2x8+1x4,Up to 1x16+1x4 |  2x8+1x4,Up to 1x16+1x4 |  2x8+1x4,Up to 1x16+1x4 |  2x8+1x4,,,,,,,,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,,,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,1 (x8) Gen5 + 3 (x4) Gen4 + 8 (x1 | x2 | x4) Gen4,1 (x8) Gen5 + 3 (x4) Gen4 + 8 (x1 | x2 | x4) Gen4,1 (x8) Gen5 + 3 (x4) Gen4 + 8 (x1 | x2 | x4) Gen4,1 (x8) Gen5 + 3 (x4) Gen4 + 8 (x1 | x2 | x4) Gen4,1 (x8) Gen5 + 3 (x4) Gen4 + 8 (x1 | x2 | x4) Gen4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,,,,,,,,,,,,,3 (x4) Gen4 + 8 (x1 | x2 | x4) Gen4,3 (x4) Gen4 + 8 (x1 | x2 | x4) Gen4,3 (x4) Gen4 + 8 (x1 | x2 | x4) Gen4,3 (x4) Gen4 + 8 (x1 | x2 | x4) Gen4,1 (x4) Gen4 + 4 (x1 | x2 | x4) Gen4 + 4 (x1 | x2 | x4) Gen3,1 (x4) Gen4 + 4 (x1 | x2 | x4) Gen4 + 4 (x1 | x2 | x4) Gen3,,,,,,,,,,,,,,,,,,
Intel® Thunderbolt™ 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,Yes
PCI Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0 and 3.0,4.0 and 3.0,,,,,,,,,,,,,,,,,,

I/O Specifications
# of USB Ports,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USB Revision,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Integrated LAN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max # of SATA 6.0 Gb/s Ports,24,24,24,24,24,24,24,24,24,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Package Specifications
Sockets Supported,FCBGA2227,FCBGA2227,FCBGA2227,FCBGA2227,FCBGA2227,FCBGA2227,FCBGA2579,FCBGA2579,FCBGA2579,FCBGA2579,FCBGA2579,FCBGA2579,FCBGA1964,FCBGA1964,FCBGA1964,FCBGA1964,FCBGA1964,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA1700,FCLGA1700,FCLGA1700,FCBGA1744,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCBGA1744,FCBGA1744,FCLGA1700,FCLGA1700,FCLGA1700,FCBGA2049,FCBGA2049,FCBGA2049,FCBGA2049,FCBGA2049,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCBGA2049,,,FCBGA2049,FCBGA2551,FCBGA2551,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,
Package Size,45mm x 45mm,45mm x 45mm,45mm x 45mm,45mm x 45mm,45mm x 45mm,45mm x 45mm,52.5 mm x 45 mm,52.5 mm x 45 mm,52.5 mm x 45 mm,52.5 mm x 45 mm,52.5 mm x 45 mm,52.5 mm x 45 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,,,,,,,,,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,50mm x25mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,50mm x25mm,50mm x25mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,50 mm x 25 mm,50 mm x 25 mm,50 mm x 25 mm,50 mm x 25 mm,50 mm x 25 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,50 mm x 25 mm,50 mm x 25 mm,50 mm x 25 mm,50 mm x 25 mm,23 mm x 19 mm,23 mm x 19 mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,,77.5mm x 56.5mm,77.5mm x 56.5mm,,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,50mm x25mm
Max CPU Configuration,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1
TJUNCTION,,,,,,,,,,,,,100°C,100°C,100°C,100°C,100°C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,,,,,,,,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,110°C,110°C,110°C,110°C,110°C,100°C,100°C,100°C,,,,,,,,,,,,,110°C,110°C,110°C,110°C,110°C,110°C,,,,,,,,,,,,,,,,,,100°C
Package Carrier,,,,,,,,,,,,,,,,,,,,,,,,,,E1B,E1B,E1B,E1B,E1B,E1B,E1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E1A,E1A,E1A,E1A,E1A,E1A,E1A,E1A,E1A,E1A,E1A,E1A,,,,,,,E1A,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,
DTS Max,,,,,,,,,,,,,,,,,,,,,,,,,,96 °C,96 °C,96 °C,100 °C,102 °C,93 °C,98 °C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94 °C,100 °C,91 °C,98 °C,79 °C,96 °C,101 °C,98 °C,91 °C,99 °C,95 °C,88 °C,,,,,,,94 °C,97 °C,90 °C,90 °C,98 °C,101 °C,99 °C,96 °C,98 °C,90 °C,97 °C,98 °C,88 °C,98 °C,95 °C,103 °C,97 °C,
TCASE,,,,,,,,,,,,,,,,,,,,,,,,,,85,85,85,84,84,84,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,81,74,81,60,78,81,81,74,81,78,74,,,,,,,78,64,81,79,81,83,82,85,76,79,83,89,66,84,85,75,85,
Thermal Solution Specification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCG 2020A,PCG 2020C,PCG 2020D,,PCG 2020C,PCG 2020A,PCG 2020D,PCG 2020C,PCG 2020D,PCG 2020A,PCG 2020C,PCG 2020C,PCG 2020A,PCG 2020C,PCG 2020A,PCG 2020D,PCG 2020D,PCG 2020C,PCG 2020D,,,PCG 2020A,PCG 2020C,PCG 2020C,,,,,,PCG 2020D,PCG 2020C,PCG 2020C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Advanced Technologies
Intel® Resource Director Technology (Intel® RDT),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Intel® Optane™ Memory Supported ‡,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Turbo Boost Technology ‡,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2,2,2,2,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
Intel® Hyper-Threading Technology ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® 64 ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Instruction Set,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,,,,,,,,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,,,,,,,,,,,,,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,,,,,,,,,,,,,,,,,,64-bit
Instruction Set Extensions,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512 |  Intel® AVX,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2
# of AVX-512 FMA Units,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
Enhanced Intel SpeedStep® Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermal Monitoring Technologies,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,Yes
